app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:04:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:04:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:04:03,45M,2.27.2,"April 13, 2021","10,000+",NA,NA
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:04:03,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:04:03,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:04:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:04:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:04:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:04:04,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:04:04,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:05:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:05:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:05:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:05:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:05:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:05:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:05:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:05:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:05:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:05:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:05:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:05:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:05:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:05:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:06:02,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:06:02,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:06:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:06:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:06:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:06:03,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:06:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:06:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:06:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:06:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:06:04,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:06:04,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:06:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:06:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:07:03,54M,1.12.0,"April 21, 2021","1,000+",NA,NA
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:07:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:07:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:07:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:07:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:07:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:07:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:07:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:07:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:07:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:07:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:07:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:07:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:07:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:08:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:08:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:08:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:08:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:08:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:08:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:08:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:08:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:08:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:08:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:08:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:08:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:08:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:08:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:09:02,54M,1.12.0,"April 21, 2021","1,000+",NA,NA
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:09:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:09:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:09:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:09:03,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:09:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:09:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:09:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:09:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:09:04,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:09:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:09:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:09:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:09:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:10:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:10:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:10:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:10:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:10:04,1.2M,1.0.2,"April 15, 2021","1,000+",NA,NA
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:10:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:10:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:10:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:10:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:10:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:10:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:10:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:10:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:10:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:11:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:11:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:11:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:11:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:11:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:11:04,45M,1.1.4,"April 27, 2021","10,000+",NA,NA
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:11:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:11:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:11:08,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:11:08,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:11:08,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:11:08,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:11:08,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:11:09,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:12:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:12:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:12:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:12:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:12:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:12:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:12:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:12:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:12:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:12:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:12:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:12:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:12:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:12:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:13:03,54M,1.12.0,"April 21, 2021","1,000+",NA,NA
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:13:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:13:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:13:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:13:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:13:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:13:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:13:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:13:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:13:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:13:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:13:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:13:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:13:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:14:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:14:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:14:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:14:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:14:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:14:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:14:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:14:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:14:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:14:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:14:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:14:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:14:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:14:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:15:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:15:04,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:15:04,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:15:04,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:15:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:15:05,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:15:05,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:15:05,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:15:05,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:15:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:15:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:15:06,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:15:06,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:15:06,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:16:03,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:16:03,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:16:03,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:16:03,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:16:04,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:16:04,45M,1.1.4,"April 27, 2021","10,000+",106,4.1
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:16:04,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:16:04,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:16:04,67.8 MB,1.11,02.05.2021,NA,49,4.6
Kalmeda Tinnitus-App,Kalmeda,1437379931,itunes,2021-05-03 10:16:05,423.9 MB,1.6.4,11.04.2021,NA,38,3.2
Rehappy,Rehappy,1357107437,itunes,2021-05-03 10:16:05,155.7 MB,3.2.3,21.04.2021,NA,3,5.0
"Vivira: Rücken, Knie und Hüfte",Vivira,1093858117,itunes,2021-05-03 10:16:05,149.3 MB,2.33,07.04.2021,NA,267,4.6
somnio,somnio,1523016446,itunes,2021-05-03 10:16:05,8.1 MB,1.1.6,16.03.2021,NA,48,4.2
zanadio,zanadio,1499824614,itunes,2021-05-03 10:16:05,56.4 MB,1.1.4,28.04.2021,NA,86,4.0
app_fullname,app_name,app_id,platform,scraping_timestamp,app_size,version,last_updated,downloads_bin,n_ratings,average_rating
Invirto - Die Therapie gegen Angst,Invirto,com.sympatient.invirto,google_play,2021-05-03 10:16:45,54M,1.12.0,"April 21, 2021","1,000+",9,4.1
M-sense Migräne,M-sense,com.newsenselab.android.m_sense_migraine,google_play,2021-05-03 10:16:45,36M,1.10,"May 2, 2021","1,000+",56,4.4
Kalmeda Tinnitus-App,Kalmeda,de.mynoise.kalmeda,google_play,2021-05-03 10:16:45,95M,1.6.4,"April 10, 2021","10,000+",133,2.6
Rehappy,Rehappy,de.rehappy.app.rehappy,google_play,2021-05-03 10:16:46,45M,3.2.3,"April 21, 2021",100+,NA,NA
somnio,somnio,de.mementor.somnio,google_play,2021-05-03 10:16:46,1.2M,1.0.2,"April 15, 2021","1,000+",51,3.7
zanadio,zanadio,de.aidhere.zanadio,google_play,2021-05-03 10:16:46,45M,1.1.4,"April 27, 2021","10,000+",NA,NA
"Vivira: Back, Knee, and Hip",Vivira,com.vivira.android,google_play,2021-05-03 10:16:47,45M,2.27.2,"April 13, 2021","10,000+",154,4.5
Invirto - Therapie gegen Angst,Invirto,1482760714,itunes,2021-05-03 10:16:47,98.9 MB,1.12.0,22.04.2021,NA,24,3.7
M-sense Migräne,M-sense,1511739470,itunes,2021-05-03 10:16:48,67.8 MB,1.11,02.05.2021,NA,49,4.6
